"id","absolute_url","date_end","date_start","nb_days","country","location","category","status","finished","is_cancelled","amount_raised","goal","percent","currency","goal_raised","lang","comment_counts","news_count"
3,"https://www.ulule.com/feenose/","2011-09-08T21:59:59Z","2011-06-15T00:00:00Z",85,"DE","Solingen","Musique","online",TRUE,FALSE,2085,100,115,"EUR",TRUE,"en",8,6
4,"https://www.ulule.com/natascha-rogers/","2011-08-30T21:59:59Z","2011-06-21T00:00:00Z",70,"FR",NA,"Musique","online",TRUE,FALSE,0,200,0,"EUR",FALSE,"fr",0,0
5,"https://www.ulule.com/la-balade-de-yaya/","2011-06-30T21:59:59Z","2011-06-15T00:00:00Z",NA,"FR","Paris","Édition & Média","online",TRUE,FALSE,302,20,105,"EUR",TRUE,"fr",3,3
8,"https://www.ulule.com/detraform/","2011-08-22T21:59:59Z",NA,NA,"CA","Montreal, Quebec","Mode & Design","online",TRUE,FALSE,14375,2500,5,"USD",FALSE,"en",7,19
9,"https://www.ulule.com/le-grand-tapoo/","2011-08-01T21:59:59Z","2011-06-17T00:00:00Z",30,"FR","Cajarc (46)","Enfance & Educ.","online",TRUE,FALSE,3077,60,110,"EUR",TRUE,"fr",8,17
10,"https://www.ulule.com/pixandshare/","2011-08-29T21:59:59Z","2011-06-20T00:00:00Z",70,"FR",NA,"Mode & Design","online",TRUE,FALSE,89,50,12,"EUR",FALSE,"fr",0,0
13,"https://www.ulule.com/alive-tattoo-portraits/","2011-08-05T21:59:59Z","2011-06-21T00:00:00Z",NA,"FR","Paris","Édition & Média","online",TRUE,FALSE,7690,45,100,"EUR",TRUE,"fr",4,5
17,"https://www.ulule.com/my-world-is/","2011-08-04T21:59:59Z","2011-06-15T00:00:00Z",50,"FR","Paris","Mode & Design","online",TRUE,FALSE,159,60,15,"EUR",FALSE,"fr",1,2
18,"https://www.ulule.com/paperflops/","2011-07-26T21:59:59Z","2011-06-16T00:00:00Z",40,"ID",NA,"Artisanat & Cuisine","online",TRUE,FALSE,306,20,45,"EUR",FALSE,"en",11,1
20,"https://www.ulule.com/queen-cherry-june/","2011-06-23T21:59:59Z","2011-06-16T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,20,30,6,"EUR",FALSE,"fr",0,2
24,"https://www.ulule.com/fx100/","2011-08-31T21:59:59Z","2011-06-21T00:00:00Z",90,"FR","lyon","Musique","online",TRUE,FALSE,8365,200,130,"EUR",TRUE,"fr",30,23
25,"https://www.ulule.com/tshirts-madmoizelle/","2011-07-20T21:59:59Z","2011-06-20T00:00:00Z",30,"FR","Paris","Mode & Design","online",TRUE,FALSE,1773,100,135,"EUR",TRUE,"fr",0,0
27,"https://www.ulule.com/inconscience/","2011-10-08T21:59:59Z","2011-06-21T00:00:00Z",110,"RE","Reunion Island (Indian Ocean)","Édition & Média","online",TRUE,FALSE,6696,250,108,"EUR",TRUE,"fr",8,10
28,"https://www.ulule.com/bluetooth-alba/","2011-07-20T21:59:59Z","2011-06-20T00:00:00Z",30,NA,NA,"Mode & Design","online",TRUE,FALSE,321,300,0,"CAD",FALSE,"en",0,0
32,"https://www.ulule.com/empty-beauty/","2011-09-10T21:59:59Z","2011-06-22T00:00:00Z",NA,"FR",NA,"Mode & Design","online",TRUE,FALSE,315,15,6,"EUR",FALSE,"fr",0,0
39,"https://www.ulule.com/t-shirt-et-sweat-le-chaudron-magique/","2012-07-12T21:59:59Z","2012-05-03T00:00:00Z",70,"FR","Paris","Musique","online",TRUE,FALSE,225,40,20,"EUR",FALSE,"fr",3,2
40,"https://www.ulule.com/affaire-de-famille/","2011-08-10T21:59:59Z","2011-07-12T00:00:00Z",30,"FR","Paris","Film & vidéo","online",TRUE,FALSE,0,50,0,"EUR",FALSE,"fr",0,0
41,"https://www.ulule.com/planete-emmaus-book/","2011-10-01T21:59:59Z","2011-07-19T00:00:00Z",NA,"FR","Paris","Édition & Média","online",TRUE,FALSE,41133,1500,105,"EUR",TRUE,"fr",0,6
42,"https://www.ulule.com/tamas-wells-on-artisans-du-disque/","2011-09-30T21:59:59Z","2011-07-17T00:00:00Z",50,"FR","Paris","Musique","online",TRUE,FALSE,1032,50,108,"EUR",TRUE,"en",0,4
46,"https://www.ulule.com/inepsys/","2011-10-15T21:59:59Z","2011-08-04T00:00:00Z",75,"FR","ALBI","Musique","online",TRUE,FALSE,590,30,133,"EUR",TRUE,"fr",2,2
49,"https://www.ulule.com/veuve-la-mariee/","2011-08-28T21:59:59Z","2011-08-02T00:00:00Z",NA,"FR",NA,"Spectacle vivant","online",TRUE,FALSE,0,30,0,"EUR",FALSE,"fr",0,0
52,"https://www.ulule.com/tama-2/","2011-10-31T22:59:59Z","2011-09-14T00:00:00Z",NA,"FR",NA,"Mode & Design","online",TRUE,FALSE,0,5,0,"EUR",FALSE,"fr",6,0
55,"https://www.ulule.com/noir-azur/","2011-09-21T21:59:59Z","2011-08-29T00:00:00Z",30,"CA",NA,"Édition & Média","online",TRUE,FALSE,1508,65,115,"CAD",TRUE,"fr",0,0
57,"https://www.ulule.com/tshirt-bio-tout-beau/","2011-10-20T21:59:59Z","2011-09-20T00:00:00Z",30,"FR",NA,"Mode & Design","online",TRUE,TRUE,82,25,8,"EUR",FALSE,"fr",0,2
